customer_id,tenure,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,churn
CUST-0000,52,119.40816546455756,6217.7769006534445,3,Month-to-month,DSL,Electronic check,1
CUST-0001,15,21.107855259430966,255.37901244171496,2,Month-to-month,DSL,Mailed check,0
CUST-0002,61,93.01734533106766,5688.379762111432,1,Month-to-month,No,Credit card (automatic),0
CUST-0003,21,77.17893159359805,1625.701011015624,0,One year,Fiber optic,Bank transfer (automatic),0
CUST-0004,24,63.40521760809567,1595.6211450536177,1,Two year,No,Mailed check,0
CUST-0005,3,32.75701745713709,76.49621801680004,3,Month-to-month,No,Electronic check,0
CUST-0006,22,60.908514863487625,1409.3174497868529,2,One year,No,Mailed check,1
CUST-0007,53,55.43771829861353,3009.7199447466296,0,Two year,No,Bank transfer (automatic),0
CUST-0008,2,50.28298889787422,66.91588177325,1,Month-to-month,No,Electronic check,1
CUST-0009,30,93.08796233222077,2810.3406513271425,2,Month-to-month,DSL,Bank transfer (automatic),0
CUST-0010,38,90.07255212842638,3412.1841454124396,1,Month-to-month,No,Bank transfer (automatic),0
CUST-0011,2,78.90200909809116,145.18326593672805,1,Month-to-month,DSL,Electronic check,0
CUST-0012,64,113.86648132933722,7299.766903661078,2,Month-to-month,DSL,Bank transfer (automatic),1
CUST-0013,60,54.985438418085444,3259.629651392008,1,Month-to-month,DSL,Electronic check,0
CUST-0014,21,44.38019377101796,852.2194251603005,1,Month-to-month,No,Electronic check,0
CUST-0015,33,85.59033130983995,2797.883434441094,4,Two year,Fiber optic,Mailed check,0
CUST-0016,58,39.881406093740296,2372.165582179331,0,Month-to-month,No,Electronic check,0
CUST-0017,22,51.50105071834246,1122.8575027202812,2,Month-to-month,Fiber optic,Credit card (automatic),1
CUST-0018,49,42.460244007488484,2079.389757115179,4,Two year,Fiber optic,Bank transfer (automatic),0
CUST-0019,59,26.915356771850124,1627.6385230265578,0,Month-to-month,Fiber optic,Credit card (automatic),0
CUST-0020,42,102.74987416356734,4235.636530147418,1,Month-to-month,Fiber optic,Mailed check,1
CUST-0021,60,45.45405429216612,2749.198632721167,1,Month-to-month,No,Electronic check,0
CUST-0022,15,67.30275033430206,1093.0339299449404,1,Two year,Fiber optic,Mailed check,0
CUST-0023,62,24.331527325431196,1513.1312450043997,2,Month-to-month,DSL,Credit card (automatic),0
CUST-0024,62,89.93394662526431,5479.755744466118,2,Two year,Fiber optic,Mailed check,0
CUST-0025,47,53.056100230629085,2489.8171539546815,1,One year,No,Mailed check,0
CUST-0026,62,94.473672782921,5887.878569985001,2,One year,No,Mailed check,0
CUST-0027,51,61.240306046786614,3128.859334969009,3,One year,Fiber optic,Electronic check,0
CUST-0028,55,39.575560640562465,2190.2784575738156,2,Month-to-month,Fiber optic,Electronic check,1
CUST-0029,64,71.3175082282036,4583.951008010421,3,Month-to-month,Fiber optic,Electronic check,1
CUST-0030,3,33.05045596374398,52.53921426659081,2,Month-to-month,Fiber optic,Mailed check,1
CUST-0031,51,64.05391598729948,3226.387035071135,0,Month-to-month,Fiber optic,Electronic check,0
CUST-0032,7,51.73054774204866,343.6316516770842,4,Two year,No,Bank transfer (automatic),0
CUST-0033,21,111.19595841996332,2354.748792493129,1,One year,No,Bank transfer (automatic),0
CUST-0034,39,26.092872172071996,958.1678517875835,0,Month-to-month,Fiber optic,Bank transfer (automatic),0
